Feature,LR_Importance,DT_Importance
alcohol,1.0010134052566875,0.3151366559202235
total sulfur dioxide,0.825044275362994,0.07272178271439211
fixed acidity,0.7587416099003211,0.08100004004853563
volatile acidity,0.694018431212159,0.10755938873434773
density,0.6726389900380892,0.03553307042482763
citric acid,0.5416261835543517,0.04175213427341603
pH,0.482528421552938,0.06050745118709544
sulphates,0.4416208492650724,0.18925409858859488
residual sugar,0.35942846472602136,0.06246473534825372
chlorides,0.280609076104245,0.02181368042227397
free sulfur dioxide,0.25967758887537623,0.012256962338039374
